forecast_date,target,target_end_date,location,type,quantile,value
2021-10-31,1 wk ahead inc case,2021-11-06,01065,quantile,0.100,5.061224951432593
2021-10-31,1 wk ahead inc case,2021-11-06,01065,quantile,0.250,10.266791265391916
2021-10-31,1 wk ahead inc case,2021-11-06,01065,quantile,0.500,17.732960836884683
2021-10-31,1 wk ahead inc case,2021-11-06,01065,point,NA,17.732960836884683
2021-10-31,1 wk ahead inc case,2021-11-06,01065,quantile,0.750,28.273640169747832
2021-10-31,1 wk ahead inc case,2021-11-06,01065,quantile,0.900,40.86234894618384
2021-10-31,1 wk ahead inc case,2021-11-06,01065,quantile,0.975,74.90524644956098
2021-10-31,1 wk ahead inc case,2021-11-06,01067,quantile,0.025,8.397431525776886
2021-10-31,1 wk ahead inc case,2021-11-06,01067,quantile,0.100,11.66957968918828
2021-10-31,1 wk ahead inc case,2021-11-06,01067,quantile,0.250,13.8666798679384
2021-10-31,1 wk ahead inc case,2021-11-06,01067,quantile,0.500,16.945786530836983
2021-10-31,1 wk ahead inc case,2021-11-06,01067,point,NA,16.945786530836983
2021-10-31,1 wk ahead inc case,2021-11-06,01067,quantile,0.750,20.111118958765665
2021-10-31,1 wk ahead inc case,2021-11-06,01067,quantile,0.900,24.49094303582876
2021-10-31,1 wk ahead inc case,2021-11-06,01067,quantile,0.975,33.82487440269732
2021-10-31,1 wk ahead inc case,2021-11-06,01069,quantile,0.025,28.65166697425488
2021-10-31,1 wk ahead inc case,2021-11-06,01069,quantile,0.100,49.28569778564266
2021-10-31,1 wk ahead inc case,2021-11-06,01069,quantile,0.250,67.53847785544744
2021-10-31,1 wk ahead inc case,2021-11-06,01069,quantile,0.500,91.2798341228168
2021-10-31,1 wk ahead inc case,2021-11-06,01069,point,NA,91.2798341228168
2021-10-31,1 wk ahead inc case,2021-11-06,01069,quantile,0.750,120.0264234155359
2021-10-31,1 wk ahead inc case,2021-11-06,01069,quantile,0.900,156.1143214219309
2021-10-31,1 wk ahead inc case,2021-11-06,01069,quantile,0.975,239.209093286433
2021-10-31,1 wk ahead inc case,2021-11-06,01071,quantile,0.025,53.948809198682525
2021-10-31,1 wk ahead inc case,2021-11-06,01071,quantile,0.100,83.35063095215693
2021-10-31,1 wk ahead inc case,2021-11-06,01071,quantile,0.250,106.1305864958522
2021-10-31,1 wk ahead inc case,2021-11-06,01071,quantile,0.500,136.98090638190993
2021-10-31,1 wk ahead inc case,2021-11-06,01071,point,NA,136.98090638190993
2021-10-31,1 wk ahead inc case,2021-11-06,01071,quantile,0.750,169.1703243572187
2021-10-31,1 wk ahead inc case,2021-11-06,01071,quantile,0.900,205.7802199293604
2021-10-31,1 wk ahead inc case,2021-11-06,01071,quantile,0.975,281.22170443757096
2021-10-31,1 wk ahead inc case,2021-11-06,01073,quantile,0.025,277.1041684136435
2021-10-31,1 wk ahead inc case,2021-11-06,01073,quantile,0.100,435.2890004600666
2021-10-31,1 wk ahead inc case,2021-11-06,01073,quantile,0.250,557.3633793392052
2021-10-31,1 wk ahead inc case,2021-11-06,01073,quantile,0.500,718.1326504984152
2021-10-31,1 wk ahead inc case,2021-11-06,01073,point,NA,718.1326504984152
2021-10-31,1 wk ahead inc case,2021-11-06,01073,quantile,0.750,886.569431522123
2021-10-31,1 wk ahead inc case,2021-11-06,01073,quantile,0.900,1091.603869092181
2021-10-31,1 wk ahead inc case,2021-11-06,01073,quantile,0.975,1540.934745165091
2021-10-31,1 wk ahead inc case,2021-11-06,01075,quantile,0.025,34.30223246670912
2021-10-31,1 wk ahead inc case,2021-11-06,01075,quantile,0.100,48.34452354986304
2021-10-31,1 wk ahead inc case,2021-11-06,01075,quantile,0.250,55.84541262435845
2021-10-31,1 wk ahead inc case,2021-11-06,01075,quantile,0.500,67.60828051560021
2021-10-31,1 wk ahead inc case,2021-11-06,01075,point,NA,67.60828051560021
2021-10-31,1 wk ahead inc case,2021-11-06,01075,quantile,0.750,77.7614367147598
2021-10-31,1 wk ahead inc case,2021-11-06,01075,quantile,0.900,88.84545857412415
2021-10-31,1 wk ahead inc case,2021-11-06,01075,quantile,0.975,115.39145806683882
2021-10-31,1 wk ahead inc case,2021-11-06,01077,quantile,0.025,86.09094419856338
2021-10-31,1 wk ahead inc case,2021-11-06,01077,quantile,0.100,141.5328383026756
2021-10-31,1 wk ahead inc case,2021-11-06,01077,quantile,0.250,190.09829100695788
2021-10-31,1 wk ahead inc case,2021-11-06,01077,quantile,0.500,257.4100819808544
2021-10-31,1 wk ahead inc case,2021-11-06,01077,point,NA,257.4100819808544
2021-10-31,1 wk ahead inc case,2021-11-06,01077,quantile,0.750,331.88566969405895
2021-10-31,1 wk ahead inc case,2021-11-06,01077,quantile,0.900,408.8523356424283
2021-10-31,1 wk ahead inc case,2021-11-06,01077,quantile,0.975,573.391181208543
2021-10-31,1 wk ahead inc case,2021-11-06,01079,quantile,0.025,24.539268250511512
2021-10-31,1 wk ahead inc case,2021-11-06,01079,quantile,0.100,48.06979700848403
2021-10-31,1 wk ahead inc case,2021-11-06,01079,quantile,0.250,78.47658389660478
2021-10-31,1 wk ahead inc case,2021-11-06,01079,quantile,0.500,129.71813026270664
2021-10-31,1 wk ahead inc case,2021-11-06,01079,point,NA,129.71813026270664
2021-10-31,1 wk ahead inc case,2021-11-06,01079,quantile,0.750,208.6140970514857
